"id","Title"
"6639c544078f0b3454c91c2e","IEEE International Conference on Cloud Computing in Emerging Markets"
"6639c547078f0b3454c91c30","IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010)"
"6639c54f078f0b3454c91c38","IEEE International Conference on Computer Communications"
"6639c6784c771c093141cb6e","IEEE International Conference on e-Science and Grid Computing"
"6639c6a64c771c093141cb9a","IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)"
"6639c4b2078f0b3454c91baa","European Conference on Software Architecture"
"6639c4b4078f0b3454c91bac","European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty"
"6639c4ec078f0b3454c91bdc","Frontiers in Education"
"6639c515078f0b3454c91c02","IEEE Conference of the Open Innovations Association FRUCT"
"6639c552078f0b3454c91c3a","IEEE International Conference on Computer Vision"
"6639c6804c771c093141cb76","IEEE International Conference on Fuzzy Systems"
"6639c6854c771c093141cb7a","IEEE International Conference on High Performance Computing and Communications"
"6639c68c4c771c093141cb82","IEEE International Conference on Information Reuse and Integration"
"6639c6b44c771c093141cba8","IEEE International Joint Conference on Neural Networks"
"6639c4a0078f0b3454c91b9a","European Conference on Genetic Programming"
"6639c493078f0b3454c91b8e","European Conference on Computational Biology"
"6639c4a5078f0b3454c91b9e","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008)"
"6639c4ae078f0b3454c91ba6","European Conference on Operations Research"
"6639c4ea078f0b3454c91bda","Foundations of Software Technology and Theoretical Computer Science"
"6639c4fc078f0b3454c91bea","Haskell Workshop"
"6639c523078f0b3454c91c0e","IEEE Conference on Systems, Man and Cybernetics"
"6639c527078f0b3454c91c12","IEEE Congress on Evolutionary Computation"
"6639c52b078f0b3454c91c16","IEEE Consumer Communications and Networking Conference"
"6639c535078f0b3454c91c20","IEEE International Conference on Advanced Learning Technologies"
"6639c6914c771c093141cb86","IEEE International Conference on Intelligent Computer Communication and Processing"
"6639c6a04c771c093141cb94","IEEE International Conference on Sensing, Communication and Networking"
"6639c6b64c771c093141cbaa","IEEE International On-Line Testing Symposium"
"6639c495078f0b3454c91b90","European Conference on Computational Biology"
"6639c4aa078f0b3454c91ba2","European Conference on Multi-Agent Systems"
"6639c4d3078f0b3454c91bca","Eye Tracking Research and Applications"
"6639c4f1078f0b3454c91be0","Genetic and Evolutionary Computations"
"6639c4f4078f0b3454c91be2","Geometry Modeling and Processing"
"6639c509078f0b3454c91bf6","IADIS International Conference Applied Computing"
"6639c50b078f0b3454c91bf8","IberoAmerican Congress on Pattern Recognition"
"6639c531078f0b3454c91c1c","IEEE Global Telecommunications Conference"
"6639c549078f0b3454c91c32","IEEE International Conference on Cluster Computing"
"6639c55a078f0b3454c91c42","IEEE International Conference on Data Science and Engineering"
"6639c6764c771c093141cb6c","IEEE International Conference on Document Analysis and Recognition"
"6639c6884c771c093141cb7e","IEEE International Conference on Image Processing"
"6639c6974c771c093141cb8c","IEEE International Conference on Multimedia and Expo"
"6639c6a84c771c093141cb9c","IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC)"
"6639c6ae4c771c093141cba2","IEEE International Conference on Wireless and Mobile Computing, Networking and Communications"
"6639c6ba4c771c093141cbae","IEEE International Performance Computing and Communications Conference"
"6639c6cd4c771c093141cbc0","IEEE International Symposium on Multimedia"
"6639c6c84c771c093141cbbc","IEEE International Symposium on High Assurance Systems Engineering"
"6639c6cb4c771c093141cbbe","IEEE International Symposium on Information Theory"
"6639c6be4c771c093141cbb2","IEEE International Scientific Conference on Informatics"
"6639c7064c771c093141cbf6","IEEE Symposium on Computers and Communications"
"6639c7104c771c093141cbfe","IEEE Symposium on Logic in Computer Science"
"6639c71a4c771c093141cc08","IEEE Wireless Communications and Networking Conference"
"6639c71f4c771c093141cc0c","IEEE Workshop on High Performance Switching and Routing"
"6639c73a4c771c093141cc26","IFIP International Conference on Distributed Applications and Interoperable Systems"
"6639ceb5c521b3f2ad61146b","IFIP Working Conferences on Virtual Enterprises"
"6639ceb8c521b3f2ad61146d","IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks"
"6639cebcc521b3f2ad611471","IFSA World Congress"
"6639cecec521b3f2ad611481","Information Processing in Sensor Networks"
"6639ced0c521b3f2ad611483","Information Security Conference"
"6639cedfc521b3f2ad611491","Innovations in Theoretical Computer Science"
"6639cee5c521b3f2ad611497","Integrated Formal Methods"
"6639cef6c521b3f2ad6114a5","Interaction Design and Children (ACM)"
"6639cf0fc521b3f2ad6114bb","International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)"
"6639cf1bc521b3f2ad6114c5","International Conference in Business Process Management"
"6639cf1fc521b3f2ad6114c9","International Conference Information Systems Architecture and Technology"
"6639cf3fc521b3f2ad6114e5","International Conference on Algorithms and Complexity (was Italian Conference )"
"6639cf52c521b3f2ad6114f7","International Conference on Artificial Intelligence in Music, Sound, Art and Design"
"6639cf56c521b3f2ad6114fb","International Conference on Artificial Neural Networks"
"6639cf58c521b3f2ad6114fd","International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments"
"6639d0082aa97d8b88806025","International Conference on Computers in Education"
"6639c6d94c771c093141cbca","IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping)"
"6639c6df4c771c093141cbd0","IEEE International Working Conference on Mining Software Repositories"
"6639c7124c771c093141cc00","IEEE Symposium on Security and Privacy"
"6639c7184c771c093141cc06","IEEE Visualization"
"6639c7234c771c093141cc10","IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining"
"6639c72d4c771c093141cc1a","IEEE/IFIP International Conference on Embedded and Ubiquitous Computing"
"6639c7364c771c093141cc22","IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes"
"6639ceb3c521b3f2ad611469","IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling"
"6639ceedc521b3f2ad61149d","Intelligent Systems in Molecular Biology"
"6639cf17c521b3f2ad6114c1","International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)"
